gemma2-9b-it ; 281.349502563476562500, 245.025543212890625000, 3.196975708007812500,  ,  9750.35 
gemma2-9b-it ; 100.041397094726562500, 88.099884033203125000, 0.320251464843750000,  ,  3503.3 
gemma2-9b-it ; 819.904006958007812500, 721.136260986328125000, 3.618591308593750000,  ,  28576.6 
gemma2-9b-it ; 363.032012939453125000, 310.561691284179687500, 9.079635620117187500,  ,  12323.6 
gemma2-9b-it ; 964.319412231445312500, 829.209426879882812500, 24.735565185546875000,  ,  30937.1 
gemma2-9b-it ; 112.060852050781250000, 99.358551025390625000, 0.337097167968750000,  ,  3689.52 
gemma2-9b-it ; 81.032333374023437500, 71.345504760742187500, 0.771041870117187500,  ,  2610.84 
gemma2-9b-it ; 2243.054565429687500000, 1944.157043457031250000, 37.618743896484375000,  ,  73591 
gemma2-9b-it ; 163.257171630859375000, 142.209472656250000000, 2.038223266601562500,  ,  5316.41 
gemma2-9b-it ; 137.156814575195312500, 119.701934814453125000, 1.428176879882812500,  ,  4469.87 
gemma2-9b-it ; 939.790756225585937500, 820.800994873046875000, 10.147308349609375000,  ,  30584 
gemma2-9b-it ; 1515.211807250976562500, 1327.082901000976562500, 13.543991088867187500,  ,  49712.9 
gemma2-9b-it ; 1714.597229003906250000, 1494.907226562500000000, 22.181793212890625000,  ,  55124.2 
gemma2-9b-it ; 673.856811523437500000, 591.185409545898437500, 5.287246704101562500,  ,  21851.1 
gemma2-9b-it ; -61514.073730468750000000, 3520.692153930664062500, 33.633407592773437500,  ,  131801 
gemma2-9b-it ; 2151.147109985351562500, 1884.759078979492187500, 14.169219970703125000,  ,  71460.6 
gemma2-9b-it ; 95.043960571289062500, 83.306472778320312500, 0.959075927734375000,  ,  3007.91 
gemma2-9b-it ; 682.310577392578125000, 595.087677001953125000, 9.017684936523437500,  ,  21866.1 
gemma2-9b-it ; 834.677551269531250000, 731.406066894531250000, 8.709671020507812500,  ,  26507.7 
gemma2-9b-it ; 732.006835937500000000, 638.195526123046875000, 9.977554321289062500,  ,  23366.9 
gemma2-9b-it ; 276.531982421875000000, 242.523651123046875000, 2.849853515625000000,  ,  8799.17 
gemma2-9b-it ; 161.543670654296875000, 142.019180297851562500, 0.762924194335937500,  ,  5569.43 
gemma2-9b-it ; 566.511276245117187500, 498.226303100585937500, 1.816818237304687500,  ,  19876.6 
gemma2-9b-it ; 18.783493041992187500, 16.518829345703125000, 0.060150146484375000,  ,  658.927 
gemma2-9b-it ; 278.406173706054687500, 244.992034912109375000, 0.888916015625000000,  ,  9723.83 
gemma2-9b-it ; 296.815414428710937500, 261.003295898437500000, 0.966857910156250000,  ,  10423.7 
gemma2-9b-it ; 46.349533081054687500, 40.806274414062500000, 0.147399902343750000,  ,  1613.32 
gemma2-9b-it ; 128.833251953125000000, 113.429397583007812500, 0.409912109375000000,  ,  4483.17 
gemma2-9b-it ; 603.496459960937500000, 531.267257690429687500, 1.921661376953125000,  ,  21025.6 
gemma2-9b-it ; 394.074874877929687500, 346.998352050781250000, 1.245971679687500000,  ,  13631.9 
gemma2-9b-it ; 115.645278930664062500, 101.745590209960937500, 0.369979858398437500,  ,  4045.11 
gemma2-9b-it ; 817.256439208984375000, 719.641082763671875000, 2.614776611328125000,  ,  28449.9 
gemma2-9b-it ; 529.291748046875000000, 465.660049438476562500, 1.694259643554687500,  ,  18534.4 
gemma2-9b-it ; 776.330062866210937500, 683.437789916992187500, 2.483352661132812500,  ,  27019.7 
gemma2-9b-it ; 115.218292236328125000, 101.452438354492187500, 0.366241455078125000,  ,  4008.75 
gemma2-9b-it ; 588.213333129882812500, 517.907638549804687500, 1.873428344726562500,  ,  20499.5 
gemma2-9b-it ; 216.012893676757812500, 190.210876464843750000, 0.687240600585937500,  ,  7514.72 
gemma2-9b-it ; 525.543579101562500000, 462.771087646484375000, 1.671478271484375000,  ,  18286.7 
gemma2-9b-it ; 459.325958251953125000, 404.234130859375000000, 1.582382202148437500,  ,  16030.6 
gemma2-9b-it ; 188.723937988281250000, 166.142852783203125000, 0.601516723632812500,  ,  6581.47 
gemma2-9b-it ; 1006.296142578125000000, 885.930419921875000000, 3.206787109375000000,  ,  35084.8 
gemma2-9b-it ; 471.694320678710937500, 415.040390014648437500, 1.623596191406250000,  ,  16495.2 
gemma2-9b-it ; 1587.771911621093750000, 1396.778198242187500000, 5.216598510742187500,  ,  55736.6 
gemma2-9b-it ; 416.365966796875000000, 366.697769165039062500, 1.326065063476562500,  ,  14509.9 
gemma2-9b-it ; 922.224304199218750000, 811.656127929687500000, 2.949981689453125000,  ,  32276.7 
gemma2-9b-it ; 544.024093627929687500, 478.956451416015625000, 1.748458862304687500,  ,  18978.1 
gemma2-9b-it ; 213.297103881835937500, 187.798461914062500000, 0.679794311523437500,  ,  7438.69 
gemma2-9b-it ; 36.251663208007812500, 31.883941650390625000, 0.116394042968750000,  ,  1274.72 
gemma2-9b-it ; 44.911911010742187500, 39.542999267578125000, 0.143341064453125000,  ,  1568.52 
gemma2-9b-it ; 612.577514648437500000, 539.546646118164062500, 1.952713012695312500,  ,  21369.2 
gemma2-9b-it ; 697.153549194335937500, 613.872787475585937500, 2.241088867187500000,  ,  24378.8 
gemma2-9b-it ; 10.740036010742187500, 9.455642700195312500, 0.034317016601562500,  ,  375.975 
gemma2-9b-it ; 20.048141479492187500, 17.643722534179687500, 0.064178466796875000,  ,  702.865 
gemma2-9b-it ; 459.517364501953125000, 404.675781250000000000, 1.466979980468750000,  ,  16051.6 
