Gemma2_9b_it ; 1.684020996093750000, 1.250671386718750000, 0.148681640625000000,  ,  71.935 
Gemma2_9b_it ; 1.160324096679687500, 0.958587646484375000, 0.005401611328125000,  ,  59.905 
Gemma2_9b_it ; 1.263702392578125000, 1.029998779296875000, 0.006317138671875000,  ,  68.811 
Gemma2_9b_it ; 1.201263427734375000, 0.980239868164062500, 0.005950927734375000,  ,  65.014 
Gemma2_9b_it ; 1.175186157226562500, 0.954132080078125000, 0.005950927734375000,  ,  65.2 
Gemma2_9b_it ; 1.244857788085937500, 1.016967773437500000, 0.006134033203125000,  ,  66.985 
Gemma2_9b_it ; 1.651885986328125000, 1.289047241210937500, 0.063995361328125000,  ,  79.623 
Gemma2_9b_it ; 1.892395019531250000, 1.409805297851562500, 0.163177490234375000,  ,  76.537 
Gemma2_9b_it ; 1.227325439453125000, 1.007690429687500000, 0.005767822265625000,  ,  63.354 
Gemma2_9b_it ; 1.238891601562500000, 1.015426635742187500, 0.006042480468750000,  ,  66.177 
Gemma2_9b_it ; 1.255310058593750000, 1.025192260742187500, 0.006225585937500000,  ,  68.236 
Gemma2_9b_it ; 1.533813476562500000, 1.213363647460937500, 0.054229736328125000,  ,  72.34 
Gemma2_9b_it ; 2.533294677734375000, 1.868133544921875000, 0.246444702148437500,  ,  92.962 
Gemma2_9b_it ; 2.373382568359375000, 1.731872558593750000, 0.243316650390625000,  ,  89.556 
Gemma2_9b_it ; 2.062545776367187500, 1.498291015625000000, 0.213867187500000000,  ,  80.731 
Gemma2_9b_it ; 2.276077270507812500, 1.611526489257812500, 0.283004760742187500,  ,  86.961 
Gemma2_9b_it ; 1.891860961914062500, 1.319244384765625000, 0.242279052734375000,  ,  76.57 
Gemma2_9b_it ; 1.886047363281250000, 1.359527587890625000, 0.198760986328125000,  ,  76.099 
Gemma2_9b_it ; 1.854827880859375000, 1.309082031250000000, 0.213836669921875000,  ,  78.403 
Gemma2_9b_it ; 1.891845703125000000, 1.327972412109375000, 0.221679687500000000,  ,  80.404 
Gemma2_9b_it ; 2.113265991210937500, 1.501007080078125000, 0.242248535156250000,  ,  83.624 
Gemma2_9b_it ; 2.333648681640625000, 1.702362060546875000, 0.238586425781250000,  ,  88.083 
Gemma2_9b_it ; 2.103103637695312500, 1.505584716796875000, 0.231109619140625000,  ,  83.305 
Gemma2_9b_it ; 1.511047363281250000, 1.137527465820312500, 0.112533569335937500,  ,  69.714 
Gemma2_9b_it ; 1.422180175781250000, 1.132797241210937500, 0.044967651367187500,  ,  70.377 
Gemma2_9b_it ; 2.497222900390625000, 2.015182495117187500, 0.115081787109375000,  ,  89.57 
Gemma2_9b_it ; 2.012359619140625000, 1.552383422851562500, 0.135772705078125000,  ,  79.335 
Gemma2_9b_it ; 2.232238769531250000, 1.569274902343750000, 0.287734985351562500,  ,  84.33 
Gemma2_9b_it ; 1.725494384765625000, 1.327606201171875000, 0.087036132812500000,  ,  80.576 
Gemma2_9b_it ; 1.694305419921875000, 1.310928344726562500, 0.091964721679687500,  ,  75.087 
Gemma2_9b_it ; 2.226730346679687500, 1.615402221679687500, 0.235565185546875000,  ,  84.512 
Gemma2_9b_it ; 1.678710937500000000, 1.295379638671875000, 0.098312377929687500,  ,  72.453 
Gemma2_9b_it ; 1.753463745117187500, 1.351562500000000000, 0.105758666992187500,  ,  73.903 
Gemma2_9b_it ; 1.527801513671875000, 1.210998535156250000, 0.055404663085937500,  ,  70.324 
Gemma2_9b_it ; 1.586181640625000000, 1.248031616210937500, 0.058532714843750000,  ,  75.122 
Gemma2_9b_it ; 1.369216918945312500, 1.120269775390625000, 0.006317138671875000,  ,  69.026 
Gemma2_9b_it ; 1.249542236328125000, 1.002655029296875000, 0.006683349609375000,  ,  73.688 
Gemma2_9b_it ; 1.189422607421875000, 0.976821899414062500, 0.005676269531250000,  ,  62.123 
Gemma2_9b_it ; 1.329681396484375000, 1.085159301757812500, 0.006408691406250000,  ,  69.967 
Gemma2_9b_it ; 1.628311157226562500, 1.275894165039062500, 0.068374633789062500,  ,  75.078 
Gemma2_9b_it ; 1.324798583984375000, 1.065338134765625000, 0.006774902343750000,  ,  74.384 
Gemma2_9b_it ; 1.201126098632812500, 0.975723266601562500, 0.006042480468750000,  ,  65.459 
Gemma2_9b_it ; 1.394104003906250000, 1.140930175781250000, 0.006591796875000000,  ,  72.367 
Gemma2_9b_it ; 2.795059204101562500, 2.393722534179687500, 0.009246826171875000,  ,  101.397 
Gemma2_9b_it ; 3.048858642578125000, 2.523071289062500000, 0.076370239257812500,  ,  108.852 
Gemma2_9b_it ; 3.554367065429687500, 2.907516479492187500, 0.109207153320312500,  ,  126.799 
Gemma2_9b_it ; 3.903762817382812500, 2.854568481445312500, 0.426971435546875000,  ,  132.166 
Gemma2_9b_it ; 5.535003662109375000, 4.101165771484375000, 0.577423095703125000,  ,  184.508 
Gemma2_9b_it ; 3.491043090820312500, 2.582275390625000000, 0.354843139648437500,  ,  118.38 
Gemma2_9b_it ; 2.045715332031250000, 1.494918823242187500, 0.211074829101562500,  ,  77.328 
Gemma2_9b_it ; 1.864135742187500000, 1.300338745117187500, 0.228820800781250000,  ,  78.666 
Gemma2_9b_it ; 1.879043579101562500, 1.323638916015625000, 0.221221923828125000,  ,  77.407 
Gemma2_9b_it ; 1.786041259765625000, 1.270202636718750000, 0.216354370117187500,  ,  75.631 
Gemma2_9b_it ; 1.976593017578125000, 1.390243530273437500, 0.234512329101562500,  ,  82.073 
