amazonQ ; 0.175262451171875000, 0.153533935546875000, 0.000549316406250000,  ,  6.487 
amazonQ ; 0.116333007812500000, 0.101150512695312500, 0.000366210937500000,  ,  4.008 
amazonQ ; 0.029129028320312500, 0.025421142578125000, 0.000091552734375000,  ,  1.08 
amazonQ ; 0.201416015625000000, 0.175460815429687500, 0.000640869140625000,  ,  7.059 
amazonQ ; 0.087249755859375000, 0.076004028320312500, 0.000274658203125000,  ,  2.885 
amazonQ ; 0.117218017578125000, 0.102478027343750000, 0.000366210937500000,  ,  3.975 
amazonQ ; 0.029373168945312500, 0.025604248046875000, 0.000091552734375000,  ,  1.024 
amazonQ ; 0.146118164062500000, 0.127700805664062500, 0.000457763671875000,  ,  5.215 
amazonQ ; 0.115539550781250000, 0.100708007812500000, 0.000366210937500000,  ,  3.678 
amazonQ ; 0.118499755859375000, 0.103805541992187500, 0.000366210937500000,  ,  4.077 
amazonQ ; 0.029327392578125000, 0.025283813476562500, 0.000091552734375000,  ,  1.049 
amazonQ ; 0.171890258789062500, 0.149841308593750000, 0.000549316406250000,  ,  5.932 
amazonQ ; 0.031036376953125000, 0.027328491210937500, 0.000091552734375000,  ,  1.028 
amazonQ ; 0.087814331054687500, 0.077194213867187500, 0.000274658203125000,  ,  2.886 
amazonQ ; 0.117904663085937500, 0.103347778320312500, 0.000366210937500000,  ,  4.084 
amazonQ ; 0.029861450195312500, 0.025939941406250000, 0.000091552734375000,  ,  1.147 
amazonQ ; 0.117126464843750000, 0.102615356445312500, 0.000366210937500000,  ,  3.853 
amazonQ ; 0.029403686523437500, 0.025436401367187500, 0.000091552734375000,  ,  1.133 
amazonQ ; 0.204925537109375000, 0.172378540039062500, 0.006576538085937500,  ,  7.003 
amazonQ ; 0.090789794921875000, 0.075759887695312500, 0.003768920898437500,  ,  2.86 
amazonQ ; 0.130111694335937500, 0.102325439453125000, 0.010437011718750000,  ,  4.045 
amazonQ ; 0.035247802734375000, 0.025924682617187500, 0.004165649414062500,  ,  1.278 
amazonQ ; 0.536315917968750000, 0.423721313476562500, 0.042877197265625000,  ,  16.866 
amazonQ ; 0.089462280273437500, 0.074966430664062500, 0.003128051757812500,  ,  2.843 
amazonQ ; 0.098648071289062500, 0.072280883789062500, 0.011154174804687500,  ,  3.26 
amazonQ ; 0.138092041015625000, 0.100814819335937500, 0.018142700195312500,  ,  3.949 
amazonQ ; 0.140533447265625000, 0.101470947265625000, 0.020034790039062500,  ,  3.952 
amazonQ ; 0.297256469726562500, 0.257415771484375000, 0.004150390625000000,  ,  9.797 
amazonQ ; 0.028747558593750000, 0.024703979492187500, 0.000091552734375000,  ,  0.989 
amazonQ ; 0.087600708007812500, 0.076629638671875000, 0.000274658203125000,  ,  3.166 
amazonQ ; 0.027893066406250000, 0.024063110351562500, 0.000091552734375000,  ,  0.956 
amazonQ ; 0.176452636718750000, 0.154708862304687500, 0.000549316406250000,  ,  6.034 
amazonQ ; 0.059082031250000000, 0.051605224609375000, 0.000183105468750000,  ,  1.811 
amazonQ ; 0.059219360351562500, 0.052124023437500000, 0.000183105468750000,  ,  2.772 
amazonQ ; 0.115005493164062500, 0.100021362304687500, 0.000366210937500000,  ,  3.456 
amazonQ ; 0.205154418945312500, 0.179412841796875000, 0.000640869140625000,  ,  6.812 
amazonQ ; 0.028808593750000000, 0.025161743164062500, 0.000091552734375000,  ,  0.915 
amazonQ ; 0.086914062500000000, 0.075454711914062500, 0.000274658203125000,  ,  3.065 
amazonQ ; 0.146179199218750000, 0.128158569335937500, 0.000457763671875000,  ,  5.124 
amazonQ ; 0.029922485351562500, 0.026046752929687500, 0.000091552734375000,  ,  1.035 
amazonQ ; 0.028137207031250000, 0.024261474609375000, 0.000091552734375000,  ,  1.007 
amazonQ ; 0.119049072265625000, 0.104446411132812500, 0.000366210937500000,  ,  3.779 
